,Recall
Class 0,0.6666666666666666
Class 1,0.75
Class 2,0.9166666666666666
Class 3,0.4166666666666667
Class 4,0.8333333333333334
Class 5,0.5833333333333334
Class 6,0.5
Class 7,0.4166666666666667
Class 8,0.9166666666666666
Class 9,0.8333333333333334
Class 10,1.0
Class 12,0.8333333333333334
Class 13,0.6666666666666666
Class 14,0.4166666666666667
Class 15,0.8333333333333334
Class 16,0.8333333333333334
Class 17,0.25
Class 22,0.16666666666666666
Class 23,0.5833333333333334
Class 24,0.75
Class 25,0.75
Class 26,0.6666666666666666
Class 27,0.4166666666666667
Class 28,0.6666666666666666
Class 29,0.6666666666666666
Class 30,0.5
Class 31,0.3333333333333333
Class 32,0.75
Class 33,0.6666666666666666
Class 34,0.8333333333333334
Class 35,0.5833333333333334
Class 36,0.25
Class 37,0.25
Class 38,0.25
Class 39,0.25
Class 40,0.25
Class 41,0.25
